director,movie_count,avg_actual_rating,avg_predicted_rating,avg_error,popularity_score
Ken Loach,7,6.957142857142856,6.295709764578225,0.6614330925646327,27
Mauro Bolognini,7,6.485714285714286,6.360469236128592,0.48323805593165964,34
Harald Reinl,7,5.957142857142857,6.013547549945697,0.28123863482250816,29
Akira Kurosawa,7,7.914285714285713,7.845336432415875,0.3833256294360176,19
John Huston,7,6.814285714285714,6.906863622900488,0.4444449662258815,29
Ettore Scola,7,6.828571428571428,6.262527502962245,0.5749481386495053,26
Mervyn LeRoy,7,6.685714285714285,6.632506146385778,0.25616054033490976,18
Lina Wertmüller,7,6.3428571428571425,6.276471572636803,0.313946288288325,21
Sathyan Anthikad,7,7.228571428571429,6.845003955925393,0.5390836357733672,31
Joe D'Amato,7,4.685714285714286,5.380795992262514,0.7381584618497804,42
Umberto Lenzi,7,5.428571428571429,5.538705458312714,0.3022802294208496,42
André De Toth,7,6.642857142857143,6.25834725880866,0.39547196053597794,22
Norman Taurog,7,6.200000000000001,6.285525219152137,0.2199215404677847,27
Georgiy Daneliya,7,7.4571428571428555,6.772949378465455,0.7148037125985777,16
Orhan Aksoy,7,6.371428571428572,6.345257107311974,0.39281358887120277,31
René Cardona,7,4.357142857142857,5.65629962035367,1.3899865888908853,10
David DeCoteau,7,2.8999999999999995,3.641130842400785,1.0955147883248528,44
Robert Altman,7,6.028571428571429,6.22184643633737,0.7426697427560598,36
Lesley Selander,7,5.828571428571429,5.822902725402328,0.3056861172825491,36
Don Siegel,7,6.671428571428572,6.592216404613148,0.19936414415338646,26
Satyajit Ray,7,7.871428571428572,8.261598557269918,0.4128362402965044,28
