Model,RMSE,MAE,R2_Score,Rank
Linear Regression,1.0221726421154507,0.778696649748306,0.3503486320368461,3.0
Ridge Regression,1.0221727154209652,0.7786968747372782,0.35034853885683426,4.0
Lasso Regression,1.0255608450043747,0.7812309933251811,0.34603468616178135,5.0
Random Forest,0.8833613414456589,0.6500890561323757,0.5148135879960677,2.0
Gradient Boosting,0.8807018272685826,0.6495796518223362,0.5177306676849616,1.0
